Date(UTC),Type,Amount,Asset,symbol
2022-09-08 14:07:18,COMMISSION,-0.00178083,BNB,BTCBUSD
2022-09-08 14:07:15,COMMISSION,-0.00089083,BNB,BTCBUSD
2022-09-08 14:07:15,REALIZED_PNL,-2.48160000,BUSD,BTCBUSD
2022-09-08 14:03:02,COMMISSION,-0.00070265,BNB,BTCBUSD
2022-09-08 14:03:02,COMMISSION,-0.00018491,BNB,BTCBUSD
2022-09-08 14:03:00,COMMISSION,-0.00044361,BNB,BTCBUSD
2022-09-08 14:03:00,REALIZED_PNL,-1.15200000,BUSD,BTCBUSD
2022-09-08 14:01:46,COMMISSION,-0.00044413,BNB,BTCBUSD
2022-09-08 14:01:44,COMMISSION,-0.00022207,BNB,BTCBUSD
2022-09-08 14:01:44,REALIZED_PNL,-0.62760000,BUSD,BTCBUSD
2022-09-08 14:01:01,COMMISSION,-0.00022222,BNB,BTCBUSD
2022-09-08 14:00:59,COMMISSION,-0.00011107,BNB,BTCBUSD
2022-09-08 14:00:59,REALIZED_PNL,-0.29520000,BUSD,BTCBUSD
2022-09-08 13:57:18,COMMISSION,-0.00011116,BNB,BTCBUSD
2022-09-08 13:57:15,COMMISSION,-0.00011118,BNB,BTCBUSD
2022-09-08 13:57:15,REALIZED_PNL,0.29220000,BUSD,BTCBUSD
2022-09-08 13:55:18,COMMISSION,-0.00011121,BNB,BTCBUSD
2022-09-08 13:55:16,COMMISSION,-0.00022240,BNB,BTCBUSD
2022-09-08 13:55:16,REALIZED_PNL,0.55920000,BUSD,BTCBUSD
2022-09-08 13:50:25,COMMISSION,-0.00022267,BNB,BTCBUSD
2022-09-08 13:50:23,COMMISSION,-0.00011123,BNB,BTCBUSD
2022-09-08 13:50:23,REALIZED_PNL,-0.31200000,BUSD,BTCBUSD
2022-09-08 13:48:05,TRANSFER,0.10675443,BNB,--
2022-09-08 13:46:29,TRANSFER,-30.00000000,BUSD,--
2022-09-08 13:46:18,COMMISSION,-0.03471840,BUSD,BTCBUSD
2022-09-08 13:46:16,COMMISSION,-0.03471912,BUSD,BTCBUSD
2022-09-08 13:46:16,REALIZED_PNL,0.27720000,BUSD,BTCBUSD
2022-09-08 13:44:46,COMMISSION,-0.03480228,BUSD,BTCBUSD
2022-09-08 13:44:44,COMMISSION,-0.03478014,BUSD,BTCBUSD
2022-09-08 13:44:44,REALIZED_PNL,0.29280000,BUSD,BTCBUSD
2022-09-08 13:42:44,COMMISSION,-0.03469230,BUSD,BTCBUSD
2022-09-08 13:42:42,COMMISSION,-0.27757295,BUSD,BTCBUSD
2022-09-08 13:42:42,REALIZED_PNL,2.39040000,BUSD,BTCBUSD
2022-09-08 13:42:02,COMMISSION,-0.27685584,BUSD,BTCBUSD
2022-09-08 13:41:59,COMMISSION,-0.13844880,BUSD,BTCBUSD
2022-09-08 13:41:59,REALIZED_PNL,-1.25520000,BUSD,BTCBUSD
2022-09-08 13:38:36,COMMISSION,-0.13807224,BUSD,BTCBUSD
2022-09-08 13:38:34,COMMISSION,-0.06905268,BUSD,BTCBUSD
2022-09-08 13:38:34,REALIZED_PNL,-0.60909999,BUSD,BTCBUSD
2022-09-08 13:32:25,COMMISSION,-0.02295660,BUSD,BTCBUSD
2022-09-08 13:32:25,COMMISSION,-0.01721744,BUSD,BTCBUSD
2022-09-08 13:32:25,COMMISSION,-0.02869590,BUSD,BTCBUSD
2022-09-08 13:32:21,COMMISSION,-0.03444246,BUSD,BTCBUSD
2022-09-08 13:32:21,REALIZED_PNL,-0.30060000,BUSD,BTCBUSD
2022-09-08 13:12:42,COMMISSION,-0.03435228,BUSD,BTCBUSD
2022-09-08 13:12:41,COMMISSION,-0.13735223,BUSD,BTCBUSD
2022-09-08 13:12:41,REALIZED_PNL,1.14240000,BUSD,BTCBUSD
2022-09-08 13:11:38,COMMISSION,-0.13700952,BUSD,BTCBUSD
2022-09-08 13:11:36,COMMISSION,-0.00570840,BUSD,BTCBUSD
2022-09-08 13:11:36,REALIZED_PNL,-0.04490000,BUSD,BTCBUSD
2022-09-08 13:11:36,COMMISSION,-0.06279240,BUSD,BTCBUSD
2022-09-08 13:11:36,REALIZED_PNL,-0.49390000,BUSD,BTCBUSD
2022-09-08 13:08:15,COMMISSION,-0.03433122,BUSD,BTCBUSD
2022-09-08 13:08:15,COMMISSION,-0.03433122,BUSD,BTCBUSD
2022-09-08 13:08:12,COMMISSION,-0.03431232,BUSD,BTCBUSD
2022-09-08 13:08:12,REALIZED_PNL,-0.41700000,BUSD,BTCBUSD
2022-09-08 12:57:31,COMMISSION,-0.03443742,BUSD,BTCBUSD
2022-09-08 12:57:30,COMMISSION,-0.03443922,BUSD,BTCBUSD
2022-09-08 12:57:30,REALIZED_PNL,0.28140000,BUSD,BTCBUSD
2022-09-08 12:50:23,COMMISSION,-0.03452364,BUSD,BTCBUSD
2022-09-08 12:50:22,COMMISSION,-0.06904728,BUSD,BTCBUSD
2022-09-08 12:50:22,REALIZED_PNL,0.56400000,BUSD,BTCBUSD
2022-09-08 12:43:35,COMMISSION,-0.06887807,BUSD,BTCBUSD
2022-09-08 12:43:33,COMMISSION,-0.03443886,BUSD,BTCBUSD
2022-09-08 12:43:33,REALIZED_PNL,-0.27360000,BUSD,BTCBUSD
2022-09-08 12:34:21,COMMISSION,-0.03452094,BUSD,BTCBUSD
2022-09-08 12:34:20,COMMISSION,-0.13808376,BUSD,BTCBUSD
2022-09-08 12:34:20,REALIZED_PNL,1.17840000,BUSD,BTCBUSD
2022-09-08 12:28:14,COMMISSION,-0.13266906,BUSD,BTCBUSD
2022-09-08 12:28:14,COMMISSION,-0.00001864,BNB,BTCBUSD
2022-09-08 12:28:11,COMMISSION,-0.06922548,BUSD,BTCBUSD
2022-09-08 12:28:11,REALIZED_PNL,-0.59280000,BUSD,BTCBUSD
2022-09-08 12:22:54,COMMISSION,-0.06940332,BUSD,BTCBUSD
2022-09-08 12:22:48,COMMISSION,-0.03470129,BUSD,BTCBUSD
2022-09-08 12:22:48,REALIZED_PNL,-0.34140000,BUSD,BTCBUSD
2022-09-08 12:21:23,COMMISSION,-0.03459888,BUSD,BTCBUSD
2022-09-08 12:21:21,COMMISSION,-0.69787113,BUSD,BTCBUSD
2022-09-08 12:21:21,REALIZED_PNL,5.60230000,BUSD,BTCBUSD
2022-09-08 12:21:21,COMMISSION,-0.40949463,BUSD,BTCBUSD
2022-09-08 12:21:21,REALIZED_PNL,3.28730000,BUSD,BTCBUSD
2022-09-08 12:17:56,COMMISSION,-1.11003264,BUSD,BTCBUSD
2022-09-08 12:17:52,COMMISSION,-0.51517650,BUSD,BTCBUSD
2022-09-08 12:17:52,REALIZED_PNL,-5.29550000,BUSD,BTCBUSD
2022-09-08 12:17:52,COMMISSION,-0.00013060,BNB,BTCBUSD
2022-09-08 12:17:52,REALIZED_PNL,-0.41580000,BUSD,BTCBUSD
2022-09-08 12:16:07,COMMISSION,-0.55740959,BUSD,BTCBUSD
2022-09-08 12:16:04,COMMISSION,-0.27864000,BUSD,BTCBUSD
2022-09-08 12:16:04,REALIZED_PNL,-2.64480000,BUSD,BTCBUSD
2022-09-08 11:33:03,COMMISSION,-0.27784656,BUSD,BTCBUSD
2022-09-08 11:32:59,COMMISSION,-0.13889952,BUSD,BTCBUSD
2022-09-08 11:32:59,REALIZED_PNL,-1.10400000,BUSD,BTCBUSD
2022-09-08 11:07:25,COMMISSION,-0.13923072,BUSD,BTCBUSD
2022-09-08 11:07:23,COMMISSION,-0.00022425,BNB,BTCBUSD
2022-09-08 11:07:23,REALIZED_PNL,-0.58200000,BUSD,BTCBUSD
2022-09-08 10:53:59,COMMISSION,-0.00022386,BNB,BTCBUSD
2022-09-08 10:53:57,COMMISSION,-0.00011193,BNB,BTCBUSD
2022-09-08 10:53:57,REALIZED_PNL,-0.28560000,BUSD,BTCBUSD
2022-09-08 10:48:35,COMMISSION,-0.00011196,BNB,BTCBUSD
2022-09-08 10:48:33,COMMISSION,-0.00011199,BNB,BTCBUSD
2022-09-08 10:48:33,REALIZED_PNL,0.26940000,BUSD,BTCBUSD
2022-09-08 10:12:42,COMMISSION,-0.00011193,BNB,BTCBUSD
2022-09-08 10:12:40,COMMISSION,-0.00011194,BNB,BTCBUSD
2022-09-08 10:12:40,REALIZED_PNL,0.30060000,BUSD,BTCBUSD
2022-09-08 10:10:06,COMMISSION,-0.00011210,BNB,BTCBUSD
2022-09-08 10:10:03,COMMISSION,-0.00022440,BNB,BTCBUSD
2022-09-08 10:10:03,REALIZED_PNL,0.71640000,BUSD,BTCBUSD
2022-09-08 10:02:18,COMMISSION,-0.00022419,BNB,BTCBUSD
2022-09-08 10:02:16,COMMISSION,-0.00003738,BNB,BTCBUSD
2022-09-08 10:02:16,REALIZED_PNL,-0.08580000,BUSD,BTCBUSD
2022-09-08 09:50:19,COMMISSION,-0.00003734,BNB,BTCBUSD
2022-09-08 09:50:17,COMMISSION,-0.00007468,BNB,BTCBUSD
2022-09-08 09:50:17,REALIZED_PNL,0.18120000,BUSD,BTCBUSD
2022-09-08 09:48:02,COMMISSION,-0.00007472,BNB,BTCBUSD
2022-09-08 09:47:59,COMMISSION,-0.00001868,BNB,BTCBUSD
2022-09-08 09:47:59,REALIZED_PNL,-0.04550000,BUSD,BTCBUSD
2022-09-08 09:20:49,COMMISSION,-0.00001867,BNB,BTCBUSD
2022-09-08 09:20:47,COMMISSION,-0.00007469,BNB,BTCBUSD
2022-09-08 09:20:47,REALIZED_PNL,0.18000000,BUSD,BTCBUSD
2022-09-08 08:23:33,COMMISSION,-0.00007457,BNB,BTCBUSD
2022-09-08 08:23:31,COMMISSION,-0.00003729,BNB,BTCBUSD
2022-09-08 08:23:31,REALIZED_PNL,-0.09040000,BUSD,BTCBUSD
2022-09-08 08:00:02,FUNDING_FEE,0.00200473,BUSD,BTCBUSD
2022-09-08 07:53:43,COMMISSION,-0.00003738,BNB,BTCBUSD
2022-09-08 07:53:41,COMMISSION,-0.00001869,BNB,BTCBUSD
2022-09-08 07:53:41,REALIZED_PNL,-0.04820000,BUSD,BTCBUSD
2022-09-08 07:39:53,COMMISSION,-0.00001869,BNB,BTCBUSD
2022-09-08 07:39:52,COMMISSION,-0.00014954,BNB,BTCBUSD
2022-09-08 07:39:52,REALIZED_PNL,0.35760000,BUSD,BTCBUSD
2022-09-08 07:32:23,COMMISSION,-0.00014945,BNB,BTCBUSD
2022-09-08 07:32:21,COMMISSION,-0.00007474,BNB,BTCBUSD
2022-09-08 07:32:21,REALIZED_PNL,-0.19000000,BUSD,BTCBUSD
2022-09-08 07:23:14,COMMISSION,-0.00007457,BNB,BTCBUSD
2022-09-08 07:23:12,COMMISSION,-0.00001864,BNB,BTCBUSD
